,list_price,num_reviews,piece_count,play_star_rating,prod_desc,prod_id,review_difficulty,set_name,star_rating,val_star_rating,age_min,age_max,AT,AU,BE,CA,CH,CZ,DE,DN,ES,FI,FR,GB,IE,IT,LU,NL,NO,NZ,PL,PT,US,Angry Birds™,Architecture,BOOST,Blue's Helicopter Pursuit,BrickHeadz,Carnotaurus Gyrosphere Escape,City,Classic,Creator 3-in-1,Creator Expert,DC Comics™ Super Heroes,DC Super Hero Girls,DIMENSIONS™,DUPLO®,Dilophosaurus Outpost Attack,Disney™,Elves,Friends,Ghostbusters™,Ideas,Indoraptor Rampage at Lockwood Estate,Juniors,Jurassic Park Velociraptor Chase,LEGO® Creator 3-in-1,MINDSTORMS®,Marvel Super Heroes,Minecraft™,Minifigures,NEXO KNIGHTS™,NINJAGO®,Power Functions,Pteranodon Chase,SERIOUS PLAY®,Speed Champions,Star Wars™,Stygimoloch Breakout,T. rex Transport,THE LEGO® BATMAN MOVIE,THE LEGO® NINJAGO® MOVIE™,Technic,height,width,length
24,9.99,7.0,140.0,3.2,10,40270.0,2.0,709,4.9,4.7,10.0,99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,4.0,1.0
25,9.99,5.0,143.0,4.6,7,41599.0,2.0,731,5.0,5.0,10.0,99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,3.0,5.0
26,9.99,3.0,122.0,2.7,11,41598.0,1.0,647,4.0,3.0,10.0,99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,3.0,5.0
27,9.99,5.0,130.0,4.3,13,41603.0,2.0,332,5.0,4.8,10.0,99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,3.0,5.0
28,9.99,3.0,119.0,4.5,11,41602.0,2.0,527,5.0,4.5,10.0,99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,3.0,5.0
29,9.99,1.0,135.0,1.0,6,41600.0,1.0,38,4.0,3.0,10.0,99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,3.0,5.0
30,9.99,2.0,108.0,3.5,7,41601.0,2.0,148,5.0,4.0,10.0,99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,3.0,5.0
31,19.99,1.0,240.0,3.0,13,41611.0,2.0,378,5.0,5.0,10.0,99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,3.0,5.0
32,19.99,2.0,209.0,5.0,11,41610.0,2.4669802077209484,620,5.0,5.0,10.0,99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,3.0,5.0
33,9.99,4.0,126.0,2.0,9,40271.0,2.0,183,5.0,4.5,10.0,99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,4.0,1.0
